customer_id,recency_score,frequency_score,monetary_score,rfm_score,customer_segmentation
425170,1,3,1,131,Hibernating
391997,1,1,3,113,Hibernating
271215,3,1,3,313,Recent Customer
358021,3,1,3,313,Recent Customer
375301,1,3,1,131,Hibernating
360952,1,1,3,113,Hibernating
405436,1,3,1,131,Hibernating
420285,2,1,3,213,At Risk
152814,3,1,3,313,Recent Customer
429924,1,3,1,131,Hibernating
140128,2,1,3,213,At Risk
386379,1,1,3,113,Hibernating
332606,3,1,3,313,Recent Customer
180110,1,3,1,131,Hibernating
429094,1,1,3,113,Hibernating
101625,3,1,3,313,Recent Customer
408048,1,3,1,131,Hibernating
267523,3,1,3,313,Recent Customer
320050,1,3,1,131,Hibernating
320554,1,3,1,131,Hibernating
388865,1,1,3,113,Hibernating
347109,3,1,3,313,Recent Customer
434992,1,3,1,131,Hibernating
440747,1,3,1,131,Hibernating
395814,1,3,1,131,Hibernating
441174,1,1,3,113,Hibernating
299393,1,1,3,113,Hibernating
367729,2,1,3,213,At Risk
287868,2,1,3,213,At Risk
22273,1,3,1,131,Hibernating
171407,2,1,3,213,At Risk
440282,1,3,1,131,Hibernating
340234,1,1,3,113,Hibernating
335283,1,1,3,113,Hibernating
290326,3,1,3,313,Recent Customer
335170,1,3,1,131,Hibernating
87870,1,1,3,113,Hibernating
420641,2,1,3,213,At Risk
394191,1,3,1,131,Hibernating
296753,3,1,3,313,Recent Customer
295103,3,1,3,313,Recent Customer
421045,1,3,1,131,Hibernating
426301,1,3,1,131,Hibernating
420775,1,3,1,131,Hibernating
425131,1,3,1,131,Hibernating
392526,1,1,3,113,Hibernating
102216,3,1,3,313,Recent Customer
427148,1,3,1,131,Hibernating
405539,1,1,3,113,Hibernating
227087,3,1,3,313,Recent Customer
370130,1,1,3,113,Hibernating
398209,1,1,3,113,Hibernating
407088,1,3,1,131,Hibernating
414909,2,1,3,213,At Risk
379598,3,1,3,313,Recent Customer
428082,1,3,1,131,Hibernating
179090,1,3,1,131,Hibernating
367595,1,1,3,113,Hibernating
193653,3,1,3,313,Recent Customer
420311,2,1,3,213,At Risk
385135,2,1,3,213,At Risk
261796,1,1,3,113,Hibernating
109063,1,1,3,113,Hibernating
427705,1,3,1,131,Hibernating
213526,1,3,1,131,Hibernating
405137,1,3,1,131,Hibernating
119537,2,1,3,213,At Risk
299635,3,1,3,313,Recent Customer
92633,3,1,3,313,Recent Customer
108414,3,1,3,313,Recent Customer
295564,3,1,3,313,Recent Customer
318675,3,1,3,313,Recent Customer
358095,2,1,3,213,At Risk
259673,1,1,3,113,Hibernating
155299,3,1,3,313,Recent Customer
334995,3,1,3,313,Recent Customer
390112,2,1,3,213,At Risk
274229,3,1,3,313,Recent Customer
120653,3,1,3,313,Recent Customer
432491,1,3,1,131,Hibernating
210137,3,1,3,313,Recent Customer
420407,1,3,1,131,Hibernating
401913,1,3,1,131,Hibernating
293111,1,3,1,131,Hibernating
153718,1,1,3,113,Hibernating
333087,1,3,1,131,Hibernating
408188,1,3,1,131,Hibernating
317186,2,1,3,213,At Risk
291090,3,1,3,313,Recent Customer
388541,1,1,3,113,Hibernating
408604,1,3,1,131,Hibernating
31542,3,1,3,313,Recent Customer
433685,1,1,3,113,Hibernating
352360,1,1,3,113,Hibernating
420655,1,1,3,113,Hibernating
167235,3,1,3,313,Recent Customer
301389,3,1,3,313,Recent Customer
425735,1,3,1,131,Hibernating
434103,1,1,3,113,Hibernating
440320,1,3,1,131,Hibernating
162426,2,1,3,213,At Risk
378646,1,1,3,113,Hibernating
376966,3,1,3,313,Recent Customer
275576,1,1,3,113,Hibernating
413887,1,3,1,131,Hibernating
433486,1,3,1,131,Hibernating
397341,1,1,3,113,Hibernating
434119,1,1,3,113,Hibernating
303923,2,1,3,213,At Risk
365935,1,1,3,113,Hibernating
14922,1,3,1,131,Hibernating
359244,1,3,1,131,Hibernating
416703,2,1,3,213,At Risk
389393,2,1,3,213,At Risk
271741,1,1,1,111,Lost
196191,1,1,1,111,Lost
405151,1,1,1,111,Lost
250386,1,1,1,111,Lost
348005,1,1,1,111,Lost
295973,1,1,1,111,Lost
139889,1,1,1,111,Lost
160024,1,1,1,111,Lost
190025,1,1,1,111,Lost
163235,1,1,1,111,Lost
140942,1,1,1,111,Lost
440895,1,1,1,111,Lost
331137,1,1,1,111,Lost
298250,1,1,1,111,Lost
279021,1,1,1,111,Lost
387692,1,1,1,111,Lost
11356,1,1,1,111,Lost
136452,1,1,1,111,Lost
205676,1,1,1,111,Lost
181303,1,1,1,111,Lost
390832,1,1,1,111,Lost
208623,1,1,1,111,Lost
151162,1,1,1,111,Lost
412479,1,1,1,111,Lost
123293,1,1,1,111,Lost
185490,1,1,1,111,Lost
312787,1,1,1,111,Lost
361011,1,1,1,111,Lost
430416,1,1,1,111,Lost
255902,1,1,1,111,Lost
141627,1,1,1,111,Lost
434294,1,1,1,111,Lost
398268,1,1,1,111,Lost
333249,1,1,1,111,Lost
87699,1,1,1,111,Lost
124033,1,1,1,111,Lost
348863,1,1,1,111,Lost
261926,1,1,1,111,Lost
431523,1,1,1,111,Lost
162914,1,1,1,111,Lost
409007,1,1,1,111,Lost
275577,1,1,1,111,Lost
329429,1,1,1,111,Lost
421904,1,1,1,111,Lost
338939,1,1,1,111,Lost
433794,1,1,1,111,Lost
140424,1,1,1,111,Lost
384676,1,1,1,111,Lost
227813,1,1,1,111,Lost
219129,1,1,1,111,Lost
180919,1,1,1,111,Lost
227263,1,1,1,111,Lost
294935,1,1,1,111,Lost
161745,1,1,1,111,Lost
210928,1,1,1,111,Lost
131278,1,1,1,111,Lost
431502,1,1,1,111,Lost
396074,1,1,1,111,Lost
440501,1,1,1,111,Lost
104504,1,1,1,111,Lost
201147,1,1,1,111,Lost
335299,1,1,1,111,Lost
263673,1,1,1,111,Lost
163053,1,1,1,111,Lost
180579,1,1,1,111,Lost
317556,1,1,1,111,Lost
101591,1,1,1,111,Lost
301066,1,1,1,111,Lost
367182,1,1,1,111,Lost
440427,1,1,1,111,Lost
405932,1,1,1,111,Lost
363641,1,1,1,111,Lost
356522,1,1,1,111,Lost
364396,1,1,1,111,Lost
364148,1,1,1,111,Lost
84576,1,1,1,111,Lost
354008,1,1,1,111,Lost
417718,1,1,1,111,Lost
284284,1,1,1,111,Lost
389463,1,1,1,111,Lost
253928,1,1,1,111,Lost
186646,1,1,1,111,Lost
193873,1,1,1,111,Lost
299290,1,1,1,111,Lost
150618,1,1,1,111,Lost
433988,1,1,1,111,Lost
173070,1,1,1,111,Lost
128027,1,1,1,111,Lost
414280,1,1,1,111,Lost
164658,1,1,1,111,Lost
270831,1,1,1,111,Lost
106621,1,1,1,111,Lost
398076,1,1,1,111,Lost
364413,1,1,1,111,Lost
397256,1,1,1,111,Lost
423022,1,1,1,111,Lost
212268,1,1,1,111,Lost
391356,1,1,1,111,Lost
305954,1,1,1,111,Lost
300826,1,1,1,111,Lost
215921,1,1,1,111,Lost
296834,1,1,1,111,Lost
145436,1,1,1,111,Lost
278354,1,1,1,111,Lost
321225,1,1,1,111,Lost
325403,1,1,1,111,Lost
407115,1,1,1,111,Lost
419836,1,1,1,111,Lost
314054,1,1,1,111,Lost
440704,1,1,1,111,Lost
377091,1,1,1,111,Lost
351821,1,1,1,111,Lost
196267,1,1,1,111,Lost
431057,1,1,1,111,Lost
416870,1,1,1,111,Lost
440750,1,1,1,111,Lost
430515,1,1,1,111,Lost
382256,1,1,1,111,Lost
307061,1,1,1,111,Lost
182168,1,1,1,111,Lost
331246,1,1,1,111,Lost
322915,1,1,1,111,Lost
143598,1,1,1,111,Lost
187693,1,1,1,111,Lost
272238,1,1,1,111,Lost
385714,1,1,1,111,Lost
349267,1,1,1,111,Lost
251662,1,1,1,111,Lost
385079,1,1,1,111,Lost
163151,1,1,1,111,Lost
160794,1,1,1,111,Lost
420464,1,1,1,111,Lost
289372,1,1,1,111,Lost
395772,1,1,1,111,Lost
434177,1,1,1,111,Lost
379879,1,1,1,111,Lost
440655,1,1,1,111,Lost
361223,1,1,1,111,Lost
425128,1,1,1,111,Lost
383425,1,1,1,111,Lost
440910,1,1,1,111,Lost
302153,1,1,1,111,Lost
176529,1,1,1,111,Lost
414216,1,1,1,111,Lost
399711,1,1,1,111,Lost
405994,1,1,1,111,Lost
88902,1,1,1,111,Lost
159616,1,1,1,111,Lost
345228,1,1,1,111,Lost
259032,1,1,1,111,Lost
366762,1,1,1,111,Lost
153763,1,1,1,111,Lost
347820,1,1,1,111,Lost
440992,1,1,1,111,Lost
431404,1,1,1,111,Lost
216832,1,1,1,111,Lost
322093,1,1,1,111,Lost
130438,1,1,1,111,Lost
144893,1,1,1,111,Lost
241290,1,1,1,111,Lost
141873,1,1,1,111,Lost
223801,1,1,1,111,Lost
434283,1,1,1,111,Lost
414062,1,1,1,111,Lost
241460,1,1,1,111,Lost
433771,1,1,1,111,Lost
143361,1,1,1,111,Lost
354800,1,1,1,111,Lost
362082,1,1,1,111,Lost
370105,1,1,1,111,Lost
150001,1,1,1,111,Lost
386924,1,1,1,111,Lost
135188,1,1,1,111,Lost
213857,1,1,1,111,Lost
440337,1,1,1,111,Lost
136060,1,1,1,111,Lost
117892,1,1,1,111,Lost
130897,1,1,1,111,Lost
150451,1,1,1,111,Lost
10872,1,1,1,111,Lost
237076,1,1,1,111,Lost
400846,1,1,1,111,Lost
431413,1,1,1,111,Lost
440484,1,1,1,111,Lost
416118,1,1,1,111,Lost
362046,1,1,1,111,Lost
440786,1,1,1,111,Lost
309111,1,1,1,111,Lost
440526,1,1,1,111,Lost
430602,1,1,1,111,Lost
440382,1,1,1,111,Lost
116468,1,1,1,111,Lost
332580,1,1,1,111,Lost
371864,1,1,1,111,Lost
219413,1,1,1,111,Lost
356503,1,1,1,111,Lost
426220,1,1,1,111,Lost
375128,1,1,1,111,Lost
417589,1,1,1,111,Lost
415806,1,1,1,111,Lost
433900,1,1,1,111,Lost
106822,1,1,1,111,Lost
433989,1,1,1,111,Lost
401697,1,1,1,111,Lost
208114,1,1,1,111,Lost
413290,1,1,1,111,Lost
194744,1,1,1,111,Lost
427114,1,1,1,111,Lost
408267,1,1,1,111,Lost
257982,1,1,1,111,Lost
45304,1,1,1,111,Lost
187737,1,1,1,111,Lost
95056,1,1,1,111,Lost
225192,1,1,1,111,Lost
210460,1,1,1,111,Lost
431086,1,1,1,111,Lost
241619,1,1,1,111,Lost
150404,1,1,1,111,Lost
417418,1,1,1,111,Lost
382404,1,1,1,111,Lost
138792,1,1,1,111,Lost
416097,1,1,1,111,Lost
440794,1,1,1,111,Lost
164332,1,1,1,111,Lost
434356,1,1,1,111,Lost
282200,1,1,1,111,Lost
334283,1,1,1,111,Lost
416418,1,1,1,111,Lost
389655,1,1,1,111,Lost
433874,1,1,1,111,Lost
441165,1,1,1,111,Lost
140273,1,1,1,111,Lost
170423,1,1,1,111,Lost
210574,1,1,1,111,Lost
133532,1,1,1,111,Lost
162625,1,1,1,111,Lost
138588,1,1,1,111,Lost
338805,1,1,1,111,Lost
136195,1,1,1,111,Lost
196214,1,1,1,111,Lost
412540,1,1,1,111,Lost
417486,1,1,1,111,Lost
433838,1,1,1,111,Lost
251656,1,1,1,111,Lost
8899,1,1,1,111,Lost
266766,1,1,1,111,Lost
143978,1,1,1,111,Lost
394031,1,1,1,111,Lost
434114,1,1,1,111,Lost
245195,1,1,1,111,Lost
363803,1,1,1,111,Lost
247833,1,1,1,111,Lost
25393,1,1,1,111,Lost
267021,1,1,1,111,Lost
369375,1,1,1,111,Lost
324615,1,1,1,111,Lost
125262,1,1,1,111,Lost
414381,1,1,1,111,Lost
261201,1,1,1,111,Lost
197125,1,1,1,111,Lost
145535,1,1,1,111,Lost
391098,1,1,1,111,Lost
98344,1,1,1,111,Lost
348020,1,1,1,111,Lost
377338,1,1,1,111,Lost
158834,1,1,1,111,Lost
215915,1,1,1,111,Lost
304959,1,1,1,111,Lost
423375,1,1,1,111,Lost
200840,1,1,1,111,Lost
180407,1,1,1,111,Lost
145703,1,1,1,111,Lost
120287,1,1,1,111,Lost
421882,1,1,1,111,Lost
179642,1,1,1,111,Lost
134973,1,1,1,111,Lost
221551,1,1,1,111,Lost
192518,1,1,1,111,Lost
257513,1,1,1,111,Lost
152296,1,1,1,111,Lost
413584,1,1,1,111,Lost
87867,1,1,1,111,Lost
285014,1,1,1,111,Lost
396389,1,1,1,111,Lost
405873,1,1,1,111,Lost
375729,1,1,1,111,Lost
389324,1,1,1,111,Lost
222715,1,1,1,111,Lost
287484,1,1,1,111,Lost
178473,1,1,1,111,Lost
384224,1,1,1,111,Lost
400668,1,1,1,111,Lost
170063,1,1,1,111,Lost
431505,1,1,1,111,Lost
400991,1,1,1,111,Lost
255563,1,1,1,111,Lost
152228,1,1,1,111,Lost
366357,1,1,1,111,Lost
70461,1,1,1,111,Lost
333059,1,1,1,111,Lost
138668,1,1,1,111,Lost
358744,1,1,1,111,Lost
385061,1,1,1,111,Lost
184712,1,1,1,111,Lost
426949,1,1,1,111,Lost
176513,1,1,1,111,Lost
296252,1,1,1,111,Lost
378019,1,1,1,111,Lost
359523,1,1,1,111,Lost
258916,1,1,1,111,Lost
332804,1,1,1,111,Lost
168537,1,1,1,111,Lost
186777,1,1,1,111,Lost
236447,1,1,1,111,Lost
99552,1,1,1,111,Lost
417816,1,1,1,111,Lost
408843,1,1,1,111,Lost
417692,1,1,1,111,Lost
390255,1,1,1,111,Lost
283200,1,1,1,111,Lost
165114,1,1,1,111,Lost
401018,1,1,1,111,Lost
434192,1,1,1,111,Lost
383024,1,1,1,111,Lost
408381,1,1,1,111,Lost
433618,1,1,1,111,Lost
274836,1,1,1,111,Lost
220509,1,1,1,111,Lost
369246,1,1,1,111,Lost
414869,1,1,1,111,Lost
405550,1,1,1,111,Lost
433630,1,1,1,111,Lost
430545,1,1,1,111,Lost
428084,1,1,1,111,Lost
277288,1,1,1,111,Lost
210067,1,1,1,111,Lost
334555,1,1,1,111,Lost
128840,1,1,1,111,Lost
400576,1,1,1,111,Lost
211458,1,1,1,111,Lost
310210,1,1,1,111,Lost
239418,1,1,1,111,Lost
294923,1,1,1,111,Lost
361935,1,1,1,111,Lost
271398,1,1,1,111,Lost
440415,1,1,1,111,Lost
378645,1,1,1,111,Lost
414083,1,1,1,111,Lost
290980,1,1,1,111,Lost
175603,1,1,1,111,Lost
430959,1,1,1,111,Lost
396846,1,1,1,111,Lost
440530,1,1,1,111,Lost
101424,1,1,1,111,Lost
273531,1,1,1,111,Lost
355991,1,1,1,111,Lost
216331,1,1,1,111,Lost
370907,1,1,1,111,Lost
284095,1,1,1,111,Lost
223618,1,1,1,111,Lost
267023,1,1,1,111,Lost
178356,1,1,1,111,Lost
97424,1,1,1,111,Lost
287179,1,1,1,111,Lost
399825,1,1,1,111,Lost
414357,1,1,1,111,Lost
332061,1,1,1,111,Lost
400980,1,1,1,111,Lost
318585,1,1,1,111,Lost
257995,1,1,1,111,Lost
232408,1,1,1,111,Lost
286012,1,1,1,111,Lost
293843,1,1,1,111,Lost
254864,1,1,1,111,Lost
181503,1,1,1,111,Lost
431673,1,1,1,111,Lost
366273,1,1,1,111,Lost
300339,1,1,1,111,Lost
142381,1,1,1,111,Lost
109728,1,1,1,111,Lost
224751,1,1,1,111,Lost
250075,1,1,1,111,Lost
204608,1,1,1,111,Lost
263656,1,1,1,111,Lost
359016,1,1,1,111,Lost
363551,1,1,1,111,Lost
369099,1,1,1,111,Lost
384140,1,1,1,111,Lost
146950,1,1,1,111,Lost
434421,1,1,1,111,Lost
425961,1,1,1,111,Lost
216977,1,1,1,111,Lost
128962,1,1,1,111,Lost
310154,1,1,1,111,Lost
150514,1,1,1,111,Lost
339696,1,1,1,111,Lost
153446,1,1,1,111,Lost
259490,1,1,1,111,Lost
433253,1,1,1,111,Lost
215873,1,1,1,111,Lost
358913,1,1,1,111,Lost
185148,1,1,1,111,Lost
219253,1,1,1,111,Lost
178466,1,1,1,111,Lost
250802,1,1,1,111,Lost
271792,1,1,1,111,Lost
174097,1,1,1,111,Lost
265799,1,1,1,111,Lost
319037,1,1,1,111,Lost
440451,1,1,1,111,Lost
370923,1,1,1,111,Lost
286748,1,1,1,111,Lost
375233,1,1,1,111,Lost
232904,1,1,1,111,Lost
357321,1,1,1,111,Lost
433976,1,1,1,111,Lost
196598,1,1,1,111,Lost
92369,1,1,1,111,Lost
440614,1,1,1,111,Lost
356905,1,1,1,111,Lost
306497,1,1,1,111,Lost
429424,1,1,1,111,Lost
301985,1,1,1,111,Lost
440393,1,1,1,111,Lost
177704,1,1,1,111,Lost
156218,1,1,1,111,Lost
272505,1,1,1,111,Lost
441223,1,1,1,111,Lost
268543,1,1,1,111,Lost
260598,1,1,1,111,Lost
370919,1,1,1,111,Lost
390724,1,1,1,111,Lost
314245,1,1,1,111,Lost
401927,1,1,1,111,Lost
314011,1,1,1,111,Lost
142885,1,1,1,111,Lost
333536,1,1,1,111,Lost
400512,1,1,1,111,Lost
412588,1,1,1,111,Lost
390242,1,1,1,111,Lost
420480,1,1,1,111,Lost
430745,1,1,1,111,Lost
366302,1,1,1,111,Lost
431675,1,1,1,111,Lost
97728,1,1,1,111,Lost
430896,1,1,1,111,Lost
333330,1,1,1,111,Lost
353927,1,1,1,111,Lost
176921,1,1,1,111,Lost
322913,1,1,1,111,Lost
178355,1,1,1,111,Lost
319979,1,1,1,111,Lost
149461,1,1,1,111,Lost
333822,1,1,1,111,Lost
118891,1,1,1,111,Lost
413377,1,1,1,111,Lost
162012,1,1,1,111,Lost
413343,1,1,1,111,Lost
270830,1,1,1,111,Lost
385785,1,1,1,111,Lost
430023,1,1,1,111,Lost
146298,1,1,1,111,Lost
357918,1,1,1,111,Lost
144976,1,1,1,111,Lost
223176,1,1,1,111,Lost
424419,1,1,1,111,Lost
306860,1,1,1,111,Lost
226206,1,1,1,111,Lost
181237,1,1,1,111,Lost
129487,1,1,1,111,Lost
325021,1,1,1,111,Lost
326587,1,1,1,111,Lost
365544,1,1,1,111,Lost
275337,1,1,1,111,Lost
405858,1,1,1,111,Lost
371860,1,1,1,111,Lost
407438,1,1,1,111,Lost
157357,1,1,1,111,Lost
36843,1,1,1,111,Lost
259892,1,1,1,111,Lost
240397,1,1,1,111,Lost
129034,1,1,1,111,Lost
166024,1,1,1,111,Lost
421990,1,1,1,111,Lost
419622,1,1,1,111,Lost
395164,1,1,1,111,Lost
266157,1,1,1,111,Lost
228008,1,1,1,111,Lost
441179,1,1,1,111,Lost
151316,1,1,1,111,Lost
433716,1,1,1,111,Lost
135116,1,1,1,111,Lost
433778,1,1,1,111,Lost
431528,1,1,1,111,Lost
15630,1,1,1,111,Lost
41168,1,1,1,111,Lost
419400,1,1,1,111,Lost
440500,1,1,1,111,Lost
247957,1,1,1,111,Lost
212328,1,1,1,111,Lost
421504,1,1,1,111,Lost
396397,1,1,1,111,Lost
332338,1,1,1,111,Lost
342882,1,1,1,111,Lost
370761,1,1,1,111,Lost
267928,1,1,1,111,Lost
433758,1,1,1,111,Lost
433611,1,1,1,111,Lost
434363,1,1,1,111,Lost
251639,1,1,1,111,Lost
403846,1,1,1,111,Lost
185412,1,1,1,111,Lost
388524,1,1,1,111,Lost
434362,1,1,1,111,Lost
178099,1,1,1,111,Lost
271786,1,1,1,111,Lost
117916,1,1,1,111,Lost
191468,1,1,1,111,Lost
156269,1,1,1,111,Lost
335330,1,1,1,111,Lost
279200,1,1,1,111,Lost
308792,1,1,1,111,Lost
404144,1,1,1,111,Lost
298812,1,1,1,111,Lost
216614,1,1,1,111,Lost
208625,1,1,1,111,Lost
341319,1,1,1,111,Lost
150136,1,1,1,111,Lost
18195,1,1,1,111,Lost
250503,1,1,1,111,Lost
382702,1,1,1,111,Lost
185075,1,1,1,111,Lost
283139,1,1,1,111,Lost
177145,1,1,1,111,Lost
371863,1,1,1,111,Lost
416473,1,1,1,111,Lost
419102,1,1,1,111,Lost
428760,1,1,1,111,Lost
392898,1,1,1,111,Lost
253756,1,1,1,111,Lost
165505,1,1,1,111,Lost
171696,1,1,1,111,Lost
366552,1,1,1,111,Lost
424495,1,1,1,111,Lost
431418,1,1,1,111,Lost
283828,1,1,1,111,Lost
431565,1,1,1,111,Lost
98304,1,1,1,111,Lost
381288,1,1,1,111,Lost
434113,1,1,1,111,Lost
109483,1,1,1,111,Lost
399748,1,1,1,111,Lost
429577,1,1,1,111,Lost
134967,1,1,1,111,Lost
92746,1,1,1,111,Lost
145809,1,1,1,111,Lost
157782,1,1,1,111,Lost
274603,1,1,1,111,Lost
114454,1,1,1,111,Lost
386294,1,1,1,111,Lost
202733,1,1,1,111,Lost
433873,1,1,1,111,Lost
425010,1,1,1,111,Lost
429464,1,1,1,111,Lost
332946,1,1,1,111,Lost
388487,1,1,1,111,Lost
338397,1,1,1,111,Lost
390197,1,1,1,111,Lost
376992,1,1,1,111,Lost
385402,1,1,1,111,Lost
402797,1,1,1,111,Lost
172709,1,1,1,111,Lost
164418,1,1,1,111,Lost
289052,1,1,1,111,Lost
200948,1,1,1,111,Lost
221468,1,1,1,111,Lost
126468,1,1,1,111,Lost
296931,1,1,1,111,Lost
146893,1,1,1,111,Lost
441015,1,1,1,111,Lost
217518,1,1,1,111,Lost
188742,1,1,1,111,Lost
431533,1,1,1,111,Lost
340247,1,1,1,111,Lost
145343,1,1,1,111,Lost
383042,1,1,1,111,Lost
312994,1,1,1,111,Lost
197997,1,1,1,111,Lost
181730,1,1,1,111,Lost
405895,1,1,1,111,Lost
213439,1,1,1,111,Lost
362087,1,1,1,111,Lost
177573,1,1,1,111,Lost
201219,1,1,1,111,Lost
271809,1,1,1,111,Lost
385071,1,1,1,111,Lost
98955,1,1,1,111,Lost
381277,1,1,1,111,Lost
334131,1,1,1,111,Lost
269873,1,1,1,111,Lost
364386,1,1,1,111,Lost
389832,1,1,1,111,Lost
426807,1,1,1,111,Lost
303143,1,1,1,111,Lost
214630,1,1,1,111,Lost
429130,1,1,1,111,Lost
109976,1,1,1,111,Lost
363550,1,1,1,111,Lost
290208,1,1,1,111,Lost
116778,1,1,1,111,Lost
148085,1,1,1,111,Lost
412466,1,1,1,111,Lost
108716,1,1,1,111,Lost
326424,1,1,1,111,Lost
267493,1,1,1,111,Lost
271881,1,1,1,111,Lost
427590,1,1,1,111,Lost
219519,1,1,1,111,Lost
101874,1,1,1,111,Lost
393432,1,1,1,111,Lost
441105,1,1,1,111,Lost
383817,1,1,1,111,Lost
422063,1,1,1,111,Lost
398088,1,1,1,111,Lost
419043,1,1,1,111,Lost
305917,1,1,1,111,Lost
119372,1,1,1,111,Lost
370369,1,1,1,111,Lost
157292,1,1,1,111,Lost
333322,1,1,1,111,Lost
375134,1,1,1,111,Lost
429462,1,1,1,111,Lost
339926,1,1,1,111,Lost
415485,1,1,1,111,Lost
417481,1,1,1,111,Lost
348705,1,1,1,111,Lost
356701,1,1,1,111,Lost
133367,1,1,1,111,Lost
162402,1,1,1,111,Lost
192902,1,1,1,111,Lost
376557,1,1,1,111,Lost
416211,1,1,1,111,Lost
330919,1,1,1,111,Lost
387748,1,1,1,111,Lost
433987,1,1,1,111,Lost
201224,1,1,1,111,Lost
178523,1,1,1,111,Lost
150328,1,1,1,111,Lost
391155,1,1,1,111,Lost
217802,1,1,1,111,Lost
